Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
301,1,0.150801634192467,1,1,8.21582996883096,0.337924031168222
302,1,0.119720775932074,1,1,8.45690911963971,0.344121864102781
303,1,0.114443072676659,1,1,8.87869422459565,0.347026358507574
304,1,0.115245569050312,1,1,9.17573789553729,0.346849234998226
305,1,0.115941285640001,1,1,9.01235003131924,0.346569171510637
306,1,0.116938733905554,1,1,9.04964892951429,0.349060533158481
307,1,0.114938417226076,1,1,9.13742062766319,0.349949190206826
308,1,0.112845039516687,1,1,9.26021762314731,0.350432784147561
309,1,0.112926012575626,1,1,9.13158040928256,0.349152418747544
310,1,0.114813301116228,1,1,9.19558878510585,0.348184382133186
311,1,0.115691328197718,1,1,9.39067747617863,0.346876860372722
312,1,0.116640089303255,1,1,9.33751831610554,0.346648662574589
313,1,0.117410573512316,1,1,9.24518781091555,0.349599009826779
314,1,0.116975775212049,1,1,9.24438793221927,0.351511747688055
315,1,0.116864889711142,1,1,9.29868536212718,0.353316455744207
316,1,0.1136798787117,1,1,9.54803538780603,0.349960531815886
317,1,0.111243710666895,1,1,9.49829210722699,0.350464832447469
318,1,0.110384533703327,1,1,9.66731386819291,0.358613724336028
319,1,0.109927065968513,1,1,9.44919134921704,0.362411593422294
320,1,0.110901267826557,1,1,9.49661351071507,0.359708354137838
321,1,0.111770921051502,1,1,9.61330264710023,0.357125240825117
322,1,0.108861201554537,1,1,9.5071848124192,0.358650795631111
323,1,0.106187529265881,1,1,9.2736223807356,0.362699341289699
324,1,0.106819431632757,1,1,9.18542987440789,0.360669098682702
325,1,0.107785092145205,1,1,9.30197753957816,0.364219505414367
326,1,0.10670909807086,1,1,9.19696479996455,0.368682272285223
327,1,0.106255049407482,1,1,9.0646515563552,0.366348524726927
328,1,0.108062810897827,1,1,9.12388763373557,0.363504103831947
329,1,0.109425098150969,1,1,9.37274093278674,0.365213473848999
330,1,0.111451389044523,1,1,9.36481017547064,0.367188021801412
331,1,0.108919491767883,1,1,9.20808896463768,0.361130260266364
332,1,0.106053299456835,1,1,9.23631980119704,0.365750086829066
333,1,0.103798422366381,1,1,9.36832279985675,0.367407603785396
334,1,0.102593477219343,1,1,9.33777158345562,0.367654056958854
335,1,0.100916692763567,1,1,9.3466723829747,0.36351227208972
336,1,0.0993325912952423,1,1,9.4804084695853,0.367532688006759
337,1,0.0998710356652737,1,1,9.47890180060242,0.371244704648852
338,1,0.101087014973164,1,1,9.46376739823469,0.369311984069645
339,1,0.103935028910637,1,1,9.49533622680185,0.36487761169672
340,1,0.10787781342864,1,1,9.46663057286445,0.363792614303529
341,1,0.108946367055178,1,1,9.26544901801423,0.360374137498438
342,1,0.10969097495079,1,1,9.53263492424885,0.36484979107976
343,1,0.111470080912113,1,1,9.6464548468747,0.369400748983026
344,1,0.106221635341644,1,1,9.45449927111201,0.368100310824811
345,1,0.102508099079132,1,1,9.54432390397036,0.369702867865562
346,1,0.10116693675518,1,1,9.59110358442938,0.367264430746436
347,1,0.0993968762457371,1,1,9.63541268929199,0.365347034372389
348,1,0.0990295250713825,1,1,9.68661283513004,0.362643453329802
349,1,0.0985492172837257,1,1,9.90614999161699,0.369763484299183
350,1,0.0993936841189861,1,1,9.97649916709201,0.37350603107363
351,1,0.0955855000019074,1,1,9.9698442154,0.373537547104061
352,1,0.097292091101408,1,1,9.81684666608589,0.372956027127802
353,1,0.0996066121757031,1,1,10.0123645725613,0.370090395659208
354,1,0.102087386399508,1,1,10.0061180307928,0.370110317841172
355,1,0.106406075507402,1,1,9.80245399465189,0.369918642565608
356,1,0.107127769589424,1,1,9.92029474983154,0.371665121540427
357,1,0.104286309331656,1,1,10.0362017070553,0.371325241401792
358,1,0.101331183314323,1,1,10.2125575928979,0.378637601323426
359,1,0.100181254297495,1,1,9.83101654302686,0.380797753557563
360,1,0.10237191259861,1,1,9.74766900929737,0.381581237018108
361,1,0.104259493052959,1,1,9.65740715325024,0.374562548734248
362,1,0.10423857614398,1,1,9.63920154261591,0.373704520016909
363,1,0.101914393603802,1,1,9.59862794368847,0.378751654326916
364,1,0.100860079675913,1,1,9.379505921285,0.37884972974658
365,1,0.10007317468524,1,1,9.78204610743283,0.383824864849448
366,1,0.0988514924049377,1,1,9.67020864513324,0.382676712609827
367,1,0.0991302360594273,1,1,9.99693526276682,0.385053395628929
368,1,0.0988675893843174,1,1,9.34703727814947,0.38065183211118
369,1,0.0989370962977409,1,1,9.36564330301971,0.380443044230342
370,1,0.0994546070694923,1,1,9.36531496055324,0.377902714200318
371,1,0.099840449988842,1,1,9.64130008552715,0.373665702529252
372,1,0.0995942299067974,1,1,9.23421075670866,0.374439602419734
373,1,0.100008297711611,1,1,9.3681537030999,0.37477442599833
374,1,0.0997493933141232,1,1,9.4195626616458,0.376176894903183
375,1,0.0994528947770596,1,1,9.55123762513338,0.376863675005734
376,1,0.0986556424200535,1,1,9.6599771011654,0.376885687187314
377,1,0.0972842425107956,1,1,9.97893455739341,0.380246810689568
378,1,0.0955404871702194,1,1,10.2407685559929,0.38053786508739
379,1,0.0952201303839684,1,1,10.2350737557937,0.381084621921182
380,1,0.094975743740797,1,1,10.1881000174693,0.38049347627908
381,1,0.0957845503091812,1,1,10.2280775695083,0.379878340139985
382,1,0.096674889177084,1,1,10.1409274039806,0.37734332408756
383,1,0.0968298465013504,1,1,10.1695553902207,0.382070010378957
384,1,0.097313247025013,1,1,10.4986102722421,0.387720629349351
385,1,0.0964313577115536,1,1,10.4137220181444,0.389958937689662
386,1,0.0943396635353565,1,1,10.0147667304223,0.388171468004584
387,1,0.0927624037861824,1,1,9.9670256342781,0.386801068857312
388,1,0.0913547405600548,1,1,9.87094363854118,0.388828214928508
389,1,0.0915950500965118,1,1,9.68051243358478,0.390819500647485
390,1,0.0920237030088902,1,1,9.69828766342559,0.390381489098072
